model,factors,seed,samples,features,fit_observed_cells,holdout_cells,observed_cells,holdout_fraction_realized,q_train,q_train_per_cell,q_heldout,q_heldout_per_cell,q_all_observed,q_all_observed_per_cell,objective,iterations,converged,fit_seconds,profile_variability_mean,profile_variability_max,active_variability_factor_count,effective_rank_mean,effective_rank_active_factor_count,high_geometric_confounding_factor_count,moderate_geometric_confounding_factor_count,pairwise_cosine_mean,pairwise_cosine_max,pairwise_cosine_min,difference_span_rank,difference_condition_number,difference_min_relative_singular_value
lowrank_v2,5,11,8671,32,205786,22901,228687,0.1001412410849764,224005.94771062862,1.0885383248162102,374142.8713679386,16.33740322989994,598148.8190785672,2.6155785815484363,224005.94771062862,15,False,28.264773583970964,0.0,0.0,0,0.0,0,2,0,0.7216450443206959,0.9905339990962977,0.5141422714156284,4.0,17.820458245345403,0.05611527976623126
lowrank_v2,5,17,8671,32,205786,22901,228687,0.1001412410849764,225691.62211449986,1.0967297197792847,474373.2039395651,20.714082526508236,700064.8260540649,3.0612357766469667,225691.62211449986,15,False,28.100175041006878,0.0,0.0,0,0.0,0,2,0,0.7534481982153383,0.9923506103669579,0.6505467464414857,4.0,8.634696592268135,0.11581182839654626
lowrank_v2,5,23,8671,32,205786,22901,228687,0.1001412410849764,246367.86101285223,1.1972041879080804,124806.5020271471,5.449827606966818,371174.3630399993,1.6230671749596581,246367.86101285223,15,False,28.116664958070032,0.0,0.0,0,0.0,0,3,0,0.6404296254716533,0.9911904706905832,0.41657193747176663,4.0,11.937448394486422,0.08376999564344692
lowrank_v2,5,31,8671,32,205786,22901,228687,0.1001412410849764,244646.71771792477,1.1888404348105546,117063.26657519721,5.11170981944881,361709.984293122,1.5816814436024873,244646.71771792477,15,False,28.181257457938045,0.0,0.0,0,0.0,0,3,0,0.7033959882611142,0.9944020929764553,0.4351238685910766,4.0,13.626722388542065,0.07338521850572394
lowrank_v2,5,41,8671,32,205786,22901,228687,0.1001412410849764,233743.53000273003,1.1358572983717552,580952.1295899057,25.36798085629037,814695.6595926358,3.5624922255862197,233743.53000273003,15,False,28.060681417002343,0.0,0.0,0,0.0,0,2,0,0.4793648806377351,0.9958352674287988,0.06914725957561013,4.0,29.127573905225695,0.034331729901493545
lowrank_v2,5,53,8671,32,205786,22901,228687,0.1001412410849764,225731.48284887124,1.0969234197120856,222855.44704203197,9.731253964544429,448586.9298909032,1.9615759964095167,225731.48284887124,15,False,28.229025166947395,0.0,0.0,0,0.0,0,3,0,0.6717551377152416,0.9921228099343699,0.2841402122489605,4.0,15.193990589848102,0.06581549423020916
lowrank_v2,5,67,8671,32,205786,22901,228687,0.1001412410849764,228594.63625228166,1.1108366762184096,464940.3163666603,20.30218402544257,693534.9526189419,3.032682017862589,228594.63625228166,15,False,28.109400957939215,0.0,0.0,0,0.0,0,2,0,0.6669914691213781,0.9905348896047338,0.4172096846026543,4.0,9.68611404608427,0.10324057668970583
lowrank_v2,5,79,8671,32,205786,22901,228687,0.1001412410849764,240851.81567515634,1.1703994230664687,133693.38598598717,5.837884196584742,374545.2016611435,1.6378071410318187,240851.81567515634,15,False,28.125472916057333,0.0,0.0,0,0.0,0,3,0,0.6384897350420425,0.9964846441847163,0.43596004226406826,4.0,18.29411417503075,0.05466238979555943
lowrank_v2,5,97,8671,32,205786,22901,228687,0.1001412410849764,224704.9078889495,1.091934863834029,271212.89638150716,11.84284076597123,495917.80427045666,2.1685439236618462,224704.9078889495,15,False,28.174772709026,0.0,0.0,0,0.0,0,2,1,0.7361828833378158,0.9907714303452073,0.4810862810722988,4.0,8.77183112629153,0.11400128269714765
lowrank_v2,5,113,8671,32,205786,22901,228687,0.1001412410849764,233310.27077070097,1.1337519110663552,292193.44703550177,12.758982011069463,525503.7178062027,2.297916881179091,233310.27077070097,15,False,28.186252333107404,0.0,0.0,0,0.0,0,2,2,0.7365634930353888,0.9787108715909691,0.34521464585680545,4.0,16.52689044170425,0.06050745017807962
